clusterName,onTarget
Inh L1-2 PAX6 CDH12,0.07715097115377158
Inh L1-2 PAX6 TNFAIP8L3,0.8717393840927068
Inh L1 LAMP5 NMBR,0.11581420103597179
Inh L1-4 LAMP5 LCP2,0.07542071218996242
Inh L1-2 LAMP5 DBP,0.1143034756629669
Inh L2-6 LAMP5 CA1,1.0
Inh L1 SST CHRNA4,0.14622581889444858
Inh L1-2 ADARB2 MC4R,0.08070624446874033
Inh L1-2 SST BAGE2,0.053593387289880126
Inh L1-3 VIP SYT6,0.748375413969285
Inh L1-2 VIP TSPAN12,0.11308068278512269
Inh L1-4 VIP CHRNA6,0.1916399275704169
Inh L1-3 VIP ADAMTSL1,0.044289566107256984
Inh L1-4 VIP PENK,0.5721994739855263
Inh L2-6 VIP QPCT,0.13510834621505352
Inh L3-6 VIP HS3ST3A1,0.10760399059229481
Inh L1-2 VIP PCDH20,0.12098735138940156
Inh L2-5 VIP SERPINF1,0.20264874308478958
Inh L2-5 VIP TYR,0.06173300198648414
Inh L1-3 VIP CHRM2,0.05639681484833841
Inh L2-4 VIP CBLN1,0.10493951360133821
Inh L1-3 VIP CCDC184,0.23671007470662922
Inh L1-3 VIP GGH,0.07344384542451426
Inh L1-2 VIP LBH,0.029862465754102792
Inh L2-3 VIP CASC6,0.24873423753723176
Inh L2-4 VIP SPAG17,0.21914482603193197
Inh L1-4 VIP OPRM1,0.2962871434071684
Inh L3-6 SST NPY,0.8972867351385696
Inh L3-6 SST HPGD,0.06777974734801337
Inh L4-6 SST B3GAT2,0.047321143857560165
Inh L5-6 SST KLHDC8A,0.0833455461212178
Inh L5-6 SST NPM1P10,0.08644292830571482
Inh L4-6 SST GXYLT2,0.12703746905461552
Inh L4-5 SST STK32A,0.04597769746502955
Inh L1-3 SST CALB1,0.184310866105774
Inh L3-5 SST ADGRG6,0.5592124293141173
Inh L2-4 SST FRZB,0.06328257886815031
Inh L5-6 SST TH,0.09076546848474247
Inh L5-6 LHX6 GLP1R,0.38829303535414467
Inh L5-6 PVALB LGR5,0.040336377868043505
Inh L4-5 PVALB MEPE,0.4736048096252615
Inh L2-4 PVALB WFDC2,0.07116966636051837
Inh L4-6 PVALB SULF1,0.0637679822729664
Inh L5-6 SST MIR548F2,0.47369450744367414
Inh L2-5 PVALB SCUBE3,0.36976987697459945
Exc L2 LAMP5 LTK,0.5544312059805214
Exc L2-4 LINC00507 GLP2R,0.08730859045416131
Exc L2-3 LINC00507 FREM3,0.2871381446055973
Exc L5-6 THEMIS C1QL3,0.35679426828258076
Exc L3-4 RORB CARM1P1,0.19162621330855859
Exc L3-5 RORB ESR1,0.15755220753232588
Exc L3-5 RORB COL22A1,0.12357546437866518
Exc L3-5 RORB FILIP1L,0.19219704203149482
Exc L3-5 RORB TWIST2,0.07909291519136867
Exc L4-5 RORB FOLH1B,0.11241844785126079
Exc L4-6 RORB SEMA3E,0.07175119226060331
Exc L4-5 RORB DAPK2,0.49911904216488645
Exc L5-6 RORB TTC12,0.1391678185783517
Exc L4-6 RORB C1R,0.1311458073806861
Exc L4-5 FEZF2 SCN4B,1.0
Exc L5-6 THEMIS DCSTAMP,0.7554226795445503
Exc L5-6 THEMIS CRABP1,0.21175684481336887
Exc L5-6 THEMIS FGF10,0.3525274447933347
Exc L4-6 FEZF2 IL26,1.0
Exc L5-6 FEZF2 ABO,0.08784775809971052
Exc L6 FEZF2 SCUBE1,0.390655651989248
Exc L5-6 FEZF2 IL15,0.20325706579759414
Exc L6 FEZF2 OR2T8,0.44308097158866205
Exc L5-6 FEZF2 EFTUD1P1,0.34799040548805926
OPC L1-6 PDGFRA,0.20365557373805476
Astro L1-6 FGFR3 SLC14A1,0.5336058606737375
Astro L1-2 FGFR3 GFAP,0.4630457488141561
Oligo L1-6 OPALIN,0.907590740840831
Endo L2-6 NOSTRIN,0.2887295744715049
Micro L1-6 TYROBP,1.0
